auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_flamm_conif,param_flamm_decid,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak
24384,995100,0.024504069942719326,0.8005225605466787,True,89,9951,29,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.04703044920108532,468,baseline-0000,baseline,191664963,100,100,100,65
30524,804694,0.03793243145841774,0.9989200863930886,True,78,10186,68,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09513057137247202,969,baseline-0001,baseline,1662057957,79,79,79,59
30236,786630,0.038437384793359015,0.9994050570153694,True,77,10085,47,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0872583044124938,880,baseline-0002,baseline,1405681631,78,78,78,58
30011,760836,0.039444768649222695,0.9993007691539306,True,75,10011,49,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08590550394565978,860,baseline-0003,baseline,942484272,76,76,76,56
30269,807680,0.037476475832012676,0.999405705229794,True,79,10096,58,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.06844294770206022,691,baseline-0004,baseline,929893137,80,80,80,34
30311,788424,0.03844504987164267,0.999604273842501,True,77,10108,39,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0911159477641472,921,baseline-0005,baseline,1843824992,78,78,78,59
30092,772772,0.03894033427712184,0.9995017935432443,True,76,10036,46,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0887803905938621,891,baseline-0006,baseline,184566854,77,77,77,59
30332,798848,0.03796967633392084,0.9999011075949367,True,78,10112,49,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09078322784810126,918,baseline-0007,baseline,1497586438,79,79,79,59
30233,756450,0.03996695088902109,0.9992068213365061,True,74,10086,58,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08933174697600635,901,baseline-0008,baseline,432652533,75,75,75,57
30380,770108,0.039449012346320256,0.9994078752590546,True,75,10133,57,0.5,0.01,,,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09108852264877135,923,baseline-0009,baseline,202244314,76,76,76,59
6470,1010200,0.006404672342110473,0.19441694713918037,False,43,10102,28,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.028806176994654525,291,dry_windy-0000,dry_windy,1130604997,100,100,100,99
25498,991600,0.02571399757966922,0.8473174667204518,True,100,9916,38,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05738200887454619,569,dry_windy-0001,dry_windy,2095133045,100,100,100,62
27930,1002200,0.0278686888844542,0.9198762722011574,True,100,10022,49,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.07104370385152664,712,dry_windy-0002,dry_windy,1580016183,100,100,100,56
26584,1008500,0.026359940505701538,0.8658403569657908,True,100,10085,49,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05929598413485374,598,dry_windy-0003,dry_windy,1634535062,100,100,100,59
28928,1013000,0.028556762092793682,0.9482724580454097,True,100,10130,39,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.05992102665350444,607,dry_windy-0004,dry_windy,1540770719,100,100,100,54
28286,1011600,0.027961644918940293,0.9205219454329775,True,100,10116,26,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.060498220640569395,612,dry_windy-0005,dry_windy,1688060240,100,100,100,58
2254,998600,0.0022571600240336473,0.06158622070899259,False,27,9986,24,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.02002803925495694,200,dry_windy-0006,dry_windy,1102145672,100,100,100,100
25509,1011900,0.025209012748295286,0.8317027374246467,True,100,10119,42,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.04575550943769147,463,dry_windy-0007,dry_windy,275121930,100,100,100,42
26992,1013800,0.026624580785164727,0.8727559676464786,True,100,10138,55,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.060268297494574866,611,dry_windy-0008,dry_windy,1803345590,100,100,100,56
25022,1008700,0.024806186180231983,0.816199068107465,True,100,10087,44,0.5,0.01,,,120,0.1,0.7,True,False,0.0,28.0,120,E,True,0.8,0.04986616436998116,503,dry_windy-0009,dry_windy,967196436,100,100,100,53
2,30249,6.611788819465106e-05,9.917683229197659e-05,False,2,10083,1,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,9.917683229197659e-05,1,wet_cool-0000,wet_cool,1074497555,3,3,3,1
1,20314,4.922713399625874e-05,9.845426799251748e-05,False,1,10157,1,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,9.845426799251748e-05,1,wet_cool-0001,wet_cool,796282693,2,2,2,1
14,70140,0.0001996007984031936,0.0005988023952095808,False,6,10020,3,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0003992015968063872,4,wet_cool-0002,wet_cool,392022359,7,7,7,3
2,30066,6.652032195835828e-05,9.978048293753742e-05,False,2,10022,1,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,9.978048293753742e-05,1,wet_cool-0003,wet_cool,1990212658,3,3,3,1
28,101160,0.000276789244760775,0.0010873863187030447,False,9,10116,3,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.00039541320680110717,4,wet_cool-0004,wet_cool,1678403330,10,10,10,2
4,50100,7.984031936127745e-05,0.0001996007984031936,False,4,10020,1,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,9.98003992015968e-05,1,wet_cool-0005,wet_cool,1382689815,5,5,5,1
0,1003100,0.0,0.0,False,0,10031,0,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0,0,wet_cool-0006,wet_cool,864178266,100,100,100,0
36,150090,0.0002398560863481911,0.0013991605036977814,False,14,10006,2,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0004997001798920647,5,wet_cool-0007,wet_cool,1766867109,15,15,15,13
7,60564,0.0001155802126675913,0.0002972062611452348,False,5,10094,2,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.00019813750743015652,2,wet_cool-0008,wet_cool,1171300112,6,6,6,1
549,546426,0.0010047106104028726,0.020258918865500544,False,53,10119,5,0.5,0.01,,,120,0.6,0.7,True,True,0.5,18.0,120,E,False,0.4,0.0021741278782488388,22,wet_cool-0009,wet_cool,952224740,54,54,54,21
30416,740585,0.04107023501691231,0.9994085756530311,True,72,10145,54,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08920650566781665,905,high_conifer-0000,high_conifer,967354524,73,73,73,58
30098,772926,0.03894033840238263,0.9995018928073321,True,76,10038,68,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09145248057381948,918,high_conifer-0001,high_conifer,487991438,77,77,77,59
0,1000700,0.0,0.0,False,0,10007,0,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.0,0,high_conifer-0002,high_conifer,197860368,100,100,100,0
30443,751026,0.040535214493239914,0.9999014681249384,True,73,10149,48,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.07182973691989358,729,high_conifer-0003,high_conifer,1190961760,74,74,74,53
30260,766764,0.039464554934764806,0.99980176429775,True,75,10089,38,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09029636237486371,911,high_conifer-0004,high_conifer,1906728918,76,76,76,58
30419,750878,0.0405112415066096,0.9993101409283532,True,73,10147,59,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.07174534345126639,728,high_conifer-0005,high_conifer,137046513,74,74,74,53
30470,742337,0.041046047819251905,0.99881994296391,True,72,10169,53,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.08634083980725735,878,high_conifer-0006,high_conifer,1843166518,73,73,73,51
30122,732993,0.04109452614145019,1.0,True,72,10041,40,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.07867742256747336,790,high_conifer-0007,high_conifer,1777324407,73,73,73,53
30194,725184,0.04163632953843438,0.9993050039714059,True,71,10072,47,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09273232724384432,934,high_conifer-0008,high_conifer,594336917,72,72,72,59
30494,772540,0.03947238977917001,1.0,True,75,10165,54,0.8,0.01,1.1,0.75,120,0.25,0.7,True,False,0.0,28.0,120,E,False,0.4,0.09050664043285785,920,high_conifer-0009,high_conifer,1356488967,76,76,76,59
